inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
ASXGAOFCKGHGMF-UHFFFAOYSA-N,NC1CCc2cc(O)c(O)cc2C1,16.397940008672037,1,0.0,1985,1985,1985,IC50,F,1
QZAYGJVTTNCVMB-UHFFFAOYSA-N,NCCc1c[nH]c2ccc(O)cc12,12.522878745280337,1,0.0,1985,1985,1985,IC50,F,1
QAECXZXKVURFMR-LBPRGKRZSA-N,CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(OC)c1OC,11.522878745280337,1,0.0,2008,2008,2008,Ki,B,1
IWBMAAUPHUCYCI-UHFFFAOYSA-N,CCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)s1,10.826813731587727,3,3.352565579759156,2021,2021,2021,Kd;Ki,B,1
KCCBFGKNVMTXIQ-UHFFFAOYSA-N,CC(CNC(=O)/N=C(\N)NCCCc1nnc(N)s1)C1CCCCC1,10.826813731587727,3,2.9080057487379944,2021,2021,2021,Kd;Ki,B,1
GWAMGWDJCYIREE-UHFFFAOYSA-N,N/C(=N\C(=O)NCc1ccccc1)NCCCc1nnc(N)s1,10.826813731587727,3,3.2486422857169073,2021,2021,2021,Kd;Ki,B,1
PKALTNFRHBJDRH-UHFFFAOYSA-N,Cc1ccc(CC(C)CNC(=O)/N=C(\N)NCCCc2nnc(N)s2)cc1,10.826813731587727,3,2.804082877913322,2021,2021,2021,Kd;Ki,B,1
OJYUKAHOHYUAHF-UHFFFAOYSA-N,CC(CCCc1ccccc1)CNC(=O)/N=C(\N)NCCCc1nnc(N)s1,10.826813731587727,3,2.584687596628566,2021,2021,2021,Kd;Ki,B,1
IOSVPGDHSQVBED-UHFFFAOYSA-N,CCCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)s1,10.826813731587727,2,0.0,2021,2021,2021,Kd,B,1
CDGJSIMJNZNZFE-SNVBAGLBSA-N,C[C@@H](NC(=O)/N=C(\N)NCCCc1nnc(N)s1)c1ccccc1,10.826813731587727,2,0.0,2021,2021,2021,Kd,B,1
MODBIBJHAWXYOZ-LLVKDONJSA-N,C[C@@H](NC(=O)/N=C(\N)NCCCc1ncn[nH]1)c1ccccc1,10.826813731587727,2,0.0,2021,2021,2021,Kd,B,1
QVAKGXNPTKFJST-UHFFFAOYSA-N,CC(NC(=O)/N=C(\N)NCCCc1nnc(N)s1)c1cccc(F)c1,10.826813731587727,2,0.0,2021,2021,2021,Kd,B,1
FEBOTPHFXYHVPL-UHFFFAOYSA-N,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,10.568636235841012,1,0.0,2016,2016,2016,Ki,B,1
CXQUOFVDYCOSEZ-TYABSZSSSA-N,O=C(CCCN1[C@@H]2CC[C@H]1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1,10.270019238436443,2,0.014123659200656924,2019,2019,2019,Kd;Ki,B,1
PJBISDNIYJBREA-UHFFFAOYSA-N,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCC5)CC3)cc21,10.240181148878031,2,0.00021355534461798577,2010,2016,2013,Ki,B,2
ISUNUPFSUDXDKD-UHFFFAOYSA-N,O=c1ccc2ccc(OCCCCN3CCN(c4ccccc4OCCF)CC3)cc2[nH]1,10.154901959985743,1,0.0,2011,2011,2011,Ki,B,1
BQDBKDMTIJBJLA-UHFFFAOYSA-N,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,10.154901959985743,1,0.0,2015,2015,2015,Ki,B,1
XPLJHFADXYVMHJ-QFIPXVFZSA-N,O=S(=O)(c1cncc2ccccc12)N1CCC[C@H]1CCN1CCC(c2noc3cc(F)ccc23)CC1,10.0,1,0.0,2018,2018,2018,Ki,B,1
QHJLPOSPWKZACG-UHFFFAOYSA-N,CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,9.944688312383335,6,0.37893509978013806,1988,2017,2017,Kd;Ki,B,3
AADCDMQTJNYOSS-LBPRGKRZSA-N,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,9.931814138253838,3,0.24798857860593984,2014,2021,2016,Ki,B,3
BBDIXZOHZUWSDY-UHFFFAOYSA-N,CCOc1cccc2cc(CNCCCCOc3ccc4ccc(=O)[nH]c4c3)oc12,9.888070392334685,6,0.12872559864583752,2023,2023,2023,EC50;Ki,B;F,1
UAJAPWHTZWZLBT-UHFFFAOYSA-N,O=C(CCCN1CCC(O)(c2cccc(Cl)c2Cl)CC1)c1ccc(F)cc1,9.880113842620357,2,0.05654264783860894,2019,2019,2019,Kd;Ki,B,1
