inchikey,validated,pAct_pre,n_pre,n_undated
ASXGAOFCKGHGMF-UHFFFAOYSA-N,1,16.397940008672037,1,0
QZAYGJVTTNCVMB-UHFFFAOYSA-N,1,12.522878745280337,1,0
QAECXZXKVURFMR-LBPRGKRZSA-N,1,11.522878745280337,1,0
IWBMAAUPHUCYCI-UHFFFAOYSA-N,1,,0,0
KCCBFGKNVMTXIQ-UHFFFAOYSA-N,1,,0,0
GWAMGWDJCYIREE-UHFFFAOYSA-N,1,,0,0
PKALTNFRHBJDRH-UHFFFAOYSA-N,1,,0,0
OJYUKAHOHYUAHF-UHFFFAOYSA-N,1,,0,0
IOSVPGDHSQVBED-UHFFFAOYSA-N,1,,0,0
CDGJSIMJNZNZFE-SNVBAGLBSA-N,1,,0,0
MODBIBJHAWXYOZ-LLVKDONJSA-N,1,,0,0
QVAKGXNPTKFJST-UHFFFAOYSA-N,1,,0,0
FEBOTPHFXYHVPL-UHFFFAOYSA-N,1,,0,0
CXQUOFVDYCOSEZ-TYABSZSSSA-N,1,,0,0
PJBISDNIYJBREA-UHFFFAOYSA-N,1,10.24033215531037,1,0
ISUNUPFSUDXDKD-UHFFFAOYSA-N,1,10.154901959985743,1,0
BQDBKDMTIJBJLA-UHFFFAOYSA-N,1,,0,0
XPLJHFADXYVMHJ-QFIPXVFZSA-N,1,,0,0
QHJLPOSPWKZACG-UHFFFAOYSA-N,1,9.944688312383335,2,0
AADCDMQTJNYOSS-LBPRGKRZSA-N,1,10.065501548756432,1,0
BBDIXZOHZUWSDY-UHFFFAOYSA-N,1,,0,0
UAJAPWHTZWZLBT-UHFFFAOYSA-N,1,,0,0
XVGOZDAJGBALKS-UHFFFAOYSA-N,1,9.853871964321762,1,0
CRVXXEZDJABOJD-UHFFFAOYSA-N,1,9.853871964321762,1,0
MEGAXNIFTOHERJ-UKRRQHHQSA-N,1,9.853871964321762,1,0
VKVJQSCYLIOFEN-NRFANRHFSA-N,1,,0,0
NURQFGFJWUREMG-UHFFFAOYSA-N,1,,0,0
NIYUXHADMUQBAS-UHFFFAOYSA-N,1,,0,0
GNIVTAIHBFVOJN-UKRRQHHQSA-N,1,9.769551078621726,1,0
MRGKIYOXZKSZPO-UHFFFAOYSA-N,1,9.721246399047171,1,0
AHJHJVULSVKBEA-WGSAOQKQSA-N,1,,0,0
QGVGRVIBOJVENZ-HXUWFJFHSA-N,1,,0,0
DVFLWMCCYDDTMA-UHFFFAOYSA-N,1,9.698970004336019,1,0
QXFQZPFQYXMZKV-UHFFFAOYSA-N,1,,0,0
LCZMXKRXXCYHBB-WGSAOQKQSA-N,1,,0,0
KLZWBFTXUIUAEI-DEOSSOPVSA-N,1,,0,0
YRFHSWLWNMFJNN-AFARHQOCSA-N,1,,0,0
BUPWFKLTAPZHIE-UHFFFAOYSA-N,1,9.599980364934842,1,0
VFOIGDCCMUEJDD-UHFFFAOYSA-N,1,9.585026652029182,1,0
DKGZKTPJOSAWFA-UHFFFAOYSA-N,1,9.698970004336019,11,0
TXJZKUBFJGPDAH-FQEVSTJZSA-N,1,,0,0
DGUPLZWUXDQFTF-MXVIHJGJSA-N,1,,0,0
VVMAWHYBPARZHV-JTQLQIEISA-N,1,9.540004743952608,1,0
GNOHLPXINNYCLR-TZMCWYRMSA-N,1,9.522878745280337,3,0
GAJLCVIQCPUCOK-NRFANRHFSA-N,1,9.522878745280337,1,0
RGCVKNLCSQQDEP-UHFFFAOYSA-N,1,9.522878745280337,1,0
RBZFRDTUHHOAAN-MXVIHJGJSA-N,1,,0,0
MWYBVUIRVLYACR-UHFFFAOYSA-N,1,,0,0
TVTKXMSEQXXPJA-OAQYLSRUSA-N,1,,0,0
ZQIBMJPPTOOPCH-UHFFFAOYSA-N,1,,0,0
LJMGIPGFTXPVTB-UHFFFAOYSA-N,1,9.51999305704285,1,0
ACIMQSDLIYUKRE-AQYVVDRMSA-N,1,,0,0
SFLSHLFXELFNJZ-QMMMGPOBSA-N,1,13.096910013008056,1,0
VZKXQURASTWIAW-AQYVVDRMSA-N,1,,0,0
HMSQOZVGOAWQNS-UHFFFAOYSA-N,1,9.455931955649724,1,0
ZTKKAIYXNICILE-MXVIHJGJSA-N,1,,0,0
UBVTUPXDRIQNKR-UHFFFAOYSA-N,1,9.445210726547806,2,0
KORNTPPJEAJQIU-KJXAQDMKSA-N,1,,0,0
HGEYJZMMUGWEOT-UHFFFAOYSA-N,1,9.431798275933005,1,0
FUGGMNXTBZFFDM-UHFFFAOYSA-N,1,,0,0
YMYDUVXFUAIERG-UHFFFAOYSA-N,1,9.413530777083874,2,0
OKHRWBVXVXXGLN-UHFFFAOYSA-N,1,9.400007822415901,1,0
HGJYUXFMUSKRHL-UHFFFAOYSA-N,1,9.397940008672037,1,0
HVSUPPZVIPTMEM-UHFFFAOYSA-N,1,9.372363747448347,4,0
WGYLSXPWKYVIGW-UHFFFAOYSA-N,1,9.397940008672037,1,0
KQNGZWUJPKEOIL-UHFFFAOYSA-N,1,,0,0
LWUCNZZPRVNCLB-UHFFFAOYSA-N,1,,0,0
AIPVMDNBQLPSHM-UHFFFAOYSA-N,1,9.387216143280265,1,0
PMBZPLQKUNCRDH-UHFFFAOYSA-N,1,,0,0
PGNHBJGIQAEIHD-UHFFFAOYSA-N,1,9.3767507096021,1,0
PNXAJQBRLDGPQZ-UHFFFAOYSA-N,1,9.3767507096021,1,0
SOMWRASUKKDBSH-HZCBDIJESA-N,1,,0,0
KXAOPEMSBPZNPQ-AQYVVDRMSA-N,1,,0,0
UCRMCTXHTPNGTQ-WGSAOQKQSA-N,1,,0,0
SQYZBSPQNGOKJY-ACHIHNKUSA-N,1,9.356547323513812,1,0
SQYZBSPQNGOKJY-MEKGRNQZSA-N,1,,0,0
HEEFMGUIOXQXAL-QGZVFWFLSA-N,1,,0,0
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,1,9.346787486224656,3,0
GAJLCVIQCPUCOK-UHFFFAOYSA-N,1,9.346787486224656,1,0
NENVXZKTDUNSBM-UHFFFAOYSA-N,1,,0,0
ZSXXBLKRPFMPGJ-UHFFFAOYSA-N,1,9.327902142064282,1,0
IPAFOBZCTHBJBT-UHFFFAOYSA-N,1,,0,0
IONAUXJNMRGVRI-UAPYVXQJSA-N,1,,0,0
QEYPINFPGIXPDO-UHFFFAOYSA-N,1,,0,0
IROBXMJJTSKRFQ-UHFFFAOYSA-N,1,,0,0
KAAZGXDPUNNEFN-UHFFFAOYSA-N,1,9.309803919971486,1,0
STFIELBPKGAKNX-UHFFFAOYSA-N,1,9.301029995663981,1,0
