inchikey,validated,pAct_pre,n_pre
MSNNKJFHFNWHFR-AQYVVDRMSA-N,1,,0
FHRMNCCBNRHQPN-XUTJKUGGSA-N,1,,0
FGVZAUNCIJVVFY-WGSAOQKQSA-N,1,,0
GMBOTQWDHJOKAM-KESTWPANSA-N,1,,0
KJOFXQKVGTXQTK-IYARVYRRSA-N,1,10.698970004336019,1
IVCDUDHUOFADMA-HZCBDIJESA-N,1,10.698970004336019,1
VICLMFFSPFEHLO-IYARVYRRSA-N,1,,0
JUDKAYYFYVHANR-GUROOMJWSA-N,1,,0
MODBIBJHAWXYOZ-LLVKDONJSA-N,1,,0
FIEUCLRMVRKRIW-YIQCUVMYSA-N,1,,0
KXAOPEMSBPZNPQ-AQYVVDRMSA-N,1,,0
NUMHPTHWXLDEFR-IVHGUIJPSA-N,1,,0
IOCBQXGKSWXFPW-QAQDUYKDSA-N,1,,0
BGQYARRWAJPAOC-KJDSRRNHSA-N,1,,0
ZRSYGNXIJUXTIX-UHFFFAOYSA-N,1,,0
UCRMCTXHTPNGTQ-WGSAOQKQSA-N,1,,0
LBCLWNAKMLUAKD-AQYVVDRMSA-N,1,,0
NQGXAETZRJZODZ-QAQDUYKDSA-N,1,,0
NCNRFJGBWYGCDE-HMRCJKRNSA-N,1,,0
RBZFRDTUHHOAAN-MXVIHJGJSA-N,1,,0
VZKXQURASTWIAW-AQYVVDRMSA-N,1,,0
MANJQFBEPDLLON-XUTJKUGGSA-N,1,,0
PQSCNANWIFBYCN-WKILWMFISA-N,1,,0
KXLVLBLWZFPQLE-RVZUZXSLSA-N,1,,0
OJUNMSDCPOWMOQ-WKILWMFISA-N,1,,0
OUJINBWEZGZUKQ-IYARVYRRSA-N,1,,0
ATHTVOQAJYMAOW-IGGCZAQCSA-N,1,,0
OQXLAYDVTKONPU-IYARVYRRSA-N,1,,0
OCNSHCHKTREKMB-IYARVYRRSA-N,1,,0
DBRVEHQLZZEVFX-MXVIHJGJSA-N,1,,0
AHJHJVULSVKBEA-WGSAOQKQSA-N,1,,0
WORJIMKQVUMSKB-AJJNSDSGSA-N,1,,0
ZTKKAIYXNICILE-MXVIHJGJSA-N,1,,0
BYJLEOXPONSXOY-IYARVYRRSA-N,1,,0
DJOCSUALXFPRDN-UODZTUOZSA-N,1,,0
MPNCNHGPKFXJQG-QAQDUYKDSA-N,1,,0
KXRPTGDSBJOKRD-UHFFFAOYSA-N,1,,0
PVZYVDCGRBZEMH-IYARVYRRSA-N,1,,0
DQPNZJRSJFNUQR-VQTJNVASSA-N,1,,0
MTSRJJUOIYINNP-UHFFFAOYSA-N,1,10.221848749616356,1
RLCITMZJUDPBHU-KOAQGZTJSA-N,1,,0
SOMWRASUKKDBSH-HZCBDIJESA-N,1,,0
ULLCNVODUCDGBS-PGCGBBBBSA-N,1,,0
ZLSSQJVDFDOQOK-AQYVVDRMSA-N,1,,0
HNKSCJOZAQWYMZ-QAQDUYKDSA-N,1,,0
NIFGQHGFOUMQJN-KCWPFWIISA-N,1,,0
GYLMYXSRSKKAER-ZVWHWTBFSA-N,1,,0
CHXSNTQDFOAJJK-XUTJKUGGSA-N,1,,0
