inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
WMTKHCQGJKXVST-PYIJLGDTSA-N,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,12.084301897225643,2,0.17775898312408905,2009,2009,2009,IC50;Ki,B,1
OCQZYGJWLHVJRD-UHFFFAOYSA-N,NCc1nc2ccccc2c(-c2ccccc2)c1C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.769551078621726,1,0.0,2004,2004,2004,IC50,B,1
ADVXLVRKUFJJTA-CYLPJFJESA-N,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.561383456552921,2,0.012079488024153203,2009,2009,2009,IC50;Ki,B,1
NKULLHQHASCPKR-CDYHHZRJSA-N,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.397940008672037,1,0.0,2015,2015,2015,Ki,B,1
ADPQCWUGLGBPRO-ISCRSJHHSA-N,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.397940008672037,1,0.0,2015,2015,2015,Ki,B,1
DSXDZHLLPRAKKT-XCRGKUJJSA-N,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.244125144327509,1,0.0,2013,2013,2013,Ki,B,1
PVNAJCHBKOKIIB-KKYBWPPWSA-N,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC1(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.092909509479906,2,0.2585389163041771,2010,2010,2010,IC50;Ki,B,1
CJYLEVUNMXXSAG-ZTNHBREUSA-N,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.045757490560675,1,0.0,2013,2013,2013,Ki,B,1
UTXLSPLKQGPIPL-WXYSSXJFSA-N,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.02743811493894,6,0.15183732294762894,2008,2010,2009,IC50;Ki,B,3
UIBQKGCCXYTNSB-UHFFFAOYSA-N,O=C(NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1c(CBr)nc2ccccc2c1-c1ccccc1,11.0,1,0.0,2004,2004,2004,IC50,B,1
KUPDICLCUUMCDF-UHFFFAOYSA-N,CNCc1nc2ccccc2c(-c2ccccc2)c1C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.958607314841775,1,0.0,2004,2004,2004,IC50,B,1
ATJZNASWBNGJGA-UPKFDLETSA-N,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1c(C)cc(O)cc1C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.921150760362242,2,0.2562868199951642,2011,2011,2011,IC50;Ki,B,1
ZGKMSCDQIDVSIK-FNFCYJGBSA-N,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.795880017344075,1,0.0,2015,2015,2015,Ki,B,1
SRLYUYRWDOPUDB-SZFUDVHCSA-N,Cc1cc(F)ccc1[C@H]1CN(C(=O)C(N)=O)CC[C@@H]1C(=O)N(C)[C@@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.769551078621726,1,0.0,2012,2012,2012,IC50,B,1
NQQVDBGEUDENFZ-XYJCDUHRSA-N,C[C@@H](OCC1(c2ccccc2)CC(N)C1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.698970004336019,1,0.0,2006,2006,2006,Ki,B,1
XLJBLGBRVMYMNE-GOTSBHOMSA-N,COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)CCCNC(C)=O)C[C@H]1c1ccccc1,10.602059991327963,1,0.0,2011,2011,2011,IC50,B,1
CAHGELRDKXVTKA-RPBOFIJWSA-N,CC(=O)N1CCC(C(=O)N2C[C@H](c3ccc(F)cc3)[C@@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)CC1,10.568636235841012,1,0.0,2013,2013,2013,IC50,B,1
MVWDYFOJQAABRA-LOSJGSFVSA-N,CC(=O)N1CCC(C(=O)N2C[C@@H](N(C)C(=O)N(C)c3cc(Cl)cc(Cl)c3)[C@H](c3ccc(F)cc3)C2)CC1,10.537602002101044,1,0.0,2013,2013,2013,IC50,B,1
VUBAEISRKSELTE-OGPKSRJFSA-N,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.522878745280337,1,0.0,2015,2015,2015,Ki,B,1
LVKWUNFNJODDPV-XZOQPEGZSA-N,CN(C(=O)N(C)[C@@H]1CN(C(=O)N2CCN(S(C)(=O)=O)CC2)C[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.522878745280337,1,0.0,2013,2013,2013,IC50,B,1
ZDJFLHCNTGAWQS-JYFHCDHNSA-N,CC(=O)N1CCC(C(=O)N2CC[C@@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H](c3ccc(Cl)c(Cl)c3)C2)CC1,10.508638306165727,1,0.0,2013,2013,2013,IC50,B,1
WCIIIOXFGGLKMU-GMAHTHKFSA-N,COc1ccc(-c2ccsc2)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.500038134403809,1,0.0,1995,1995,1995,Ki,B,1
KVHRINXGSHANGC-RRPNLBNLSA-N,CC(=O)N1CCC(C(=O)N2CC[C@H](C(=O)N(C)Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccccc3C)C2)CC1,10.494850021680094,1,0.0,2012,2012,2012,IC50,B,1
OIFPROSOIDRACJ-SYIFMXBLSA-N,CC(=O)N1CCC(C(=O)N2CC(c3ccc(F)cn3)[C@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)CC1,10.494850021680094,1,0.0,2013,2013,2013,IC50,B,1
JNSYLTHKBVSSSE-VQTJNVASSA-N,Cc1cc(F)ccc1[C@H]1CN(C(=O)C(N)=O)CC[C@@H]1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.49148333035061,2,0.2934304683618504,2012,2012,2012,IC50,B,1
VYUZFKRVLLXBRD-JZIKEGBGSA-N,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.468521082957745,1,0.0,2013,2013,2013,Ki,B,1
ALFJIXABJRNKLR-VQTJNVASSA-N,Cc1cc(F)ccc1[C@H]1CN(C(N)=O)CC[C@@H]1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.455931955649724,1,0.0,2012,2012,2012,IC50,B,1
KEBGEOSFYGRLDX-SFTDATJTSA-N,COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)CNC(C)=O)C[C@H]1c1ccccc1,10.453114109250635,2,0.4475094537208358,2011,2011,2011,IC50,B,1
XILNRORTJVDYRH-HKUYNNGSSA-N,COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.449984651306366,4,0.2462028838979253,1996,2011,2003,IC50;Ki,B,4
SAOIHBIAGRVDAR-KBJGYGKASA-N,CC(=O)N[C@H]1CC[C@@](CO[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2ccccc2)NC1,10.41195437047216,2,0.8316221045724969,2010,2011,2010,Ki,B,2
LAPDOBVFPRPNFV-PMACEKPBSA-N,CCNC(=O)N1CC[C@H](NCc2cc(-n3nnnc3C(F)(F)F)ccc2OC)[C@H](c2ccccc2)C1,10.4089353929735,1,0.0,2011,2011,2011,IC50,B,1
OUYSLNGQLIIZQC-XZOQPEGZSA-N,CN(C(=O)N(C)[C@@H]1CN(C(=O)NC2CCOCC2)C[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.4089353929735,1,0.0,2013,2013,2013,IC50,B,1
POVSMQHNJBZQSH-REWPJTCUSA-N,CCCc1nnnn1-c1ccc(OC)c(CN[C@H]2CCCN[C@H]2c2ccccc2)c1,10.400007822415901,1,0.0,1996,1996,1996,Ki,B,1
ZOXDXWYYGMUJSO-ICSRJNTNSA-N,COc1ccc(-n2nnnc2SC)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.400007822415901,1,0.0,1996,1996,1996,Ki,B,1
LZKSSKWSKNLYAF-XZOQPEGZSA-N,CC(=O)NCC(=O)N1CC[C@H](C(=O)N(C)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H](c2ccc(F)cc2C)C1,10.366531544420413,1,0.0,2012,2012,2012,IC50,B,1
NTGJAYAGZOYPEO-VXKWHMMOSA-N,CCNC(=O)N1CC[C@H](NCc2cc(-n3nnnc3C(F)(F)F)ccc2OC2CC2)[C@H](c2ccccc2)C1,10.356547323513812,1,0.0,2011,2011,2011,IC50,B,1
DZYPLFAASKBQBS-ICSRJNTNSA-N,COc1ccc(-n2cnnn2)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.348964473174963,4,0.08585702320025833,1995,2013,2000,IC50;Ki,B,4
XHJXRHNUFXHMEV-REAJPLCASA-N,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.337242168318426,1,0.0,2008,2008,2008,Ki,B,1
YGZREHQKRAUHGY-VQTJNVASSA-N,Cc1cc(F)ccc1[C@H]1CN(C(=O)C(=O)NO)CC[C@@H]1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.337242168318426,1,0.0,2012,2012,2012,IC50,B,1
SIHCCJJWSBAMTD-RRPNLBNLSA-N,CC(=O)N1CCC(C(=O)N2CC[C@H](C(=O)N(C)Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3C)C2)CC1,10.327902142064282,1,0.0,2012,2012,2012,IC50,B,1
WYRVPBJYGNHDQS-LEWJYISDSA-N,CNC(=O)N1CC[C@H](C(=O)N(C)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H](c2ccc(F)cc2C)C1,10.318758762624412,1,0.0,2012,2012,2012,IC50,B,1
WFRTYDJMZVPQJC-JBOYQHEBSA-N,CSCC[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CO)C(C)(C)C)C(C)C)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)O)[C@@H](C)O,10.309981219211306,1,0.0,2009,2009,2009,EC50,F,1
JATRHWFLYQWVOP-PMACEKPBSA-N,COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(C)=O)C[C@H]1c1ccccc1,10.309803919971486,1,0.0,2011,2011,2011,IC50,B,1
HUBLDDBZWROLJY-JYQZRRITSA-N,COC(=O)N[C@H]1CC[C@H](C(=O)N2C[C@@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H](c3ccc(F)cc3)C2)CC1,10.309803919971486,1,0.0,2013,2013,2013,IC50,B,1
ZUWHBRRBKKTMQO-ICSRJNTNSA-N,O=c1[nH]nc(CN2CCC[C@H](OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2c2ccccc2)[nH]1,10.301029995663981,4,0.15051499783199063,1996,2021,2001,IC50,B,4
GVRKQRSTDMXZGX-VAQUTSCRSA-N,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.301029995663981,1,0.0,2015,2015,2015,Ki,B,1
NNCLFEXCOZZGBL-URXFXBBRSA-N,COc1ccc(-c2c(C)noc2C)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.299988937677888,1,0.0,1995,1995,1995,Ki,B,1
IWYYILZQWTZMBD-HKUYNNGSSA-N,COc1ccc(Br)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.299988937677888,1,0.0,1995,1995,1995,Ki,B,1
CDOUOAYDUOAYET-FPOVZHCZSA-N,COc1ccc(-n2nnnc2C)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.299988937677888,1,0.0,1996,1996,1996,Ki,B,1
JEVJEXOPWIYIHY-UGKGYDQZSA-N,CCc1nnnn1-c1ccc(OC)c(CN[C@H]2CCCN[C@H]2c2ccccc2)c1,10.299988937677888,1,0.0,1996,1996,1996,Ki,B,1
XYYBIGZRYVVKHM-IZZNHLLZSA-N,CC(=O)N1CCC(C(=O)N2CC[C@H](C(=O)N(C)Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3)C2)CC1,10.2839966563652,1,0.0,2012,2012,2012,IC50,B,1
SRPGJTDSNNPYQF-OALUTQOASA-N,COC(=O)N1CC[C@H](NCc2cc(-n3nnnc3C(F)(F)F)ccc2OC)[C@H](c2ccccc2)C1,10.267606240177031,1,0.0,2011,2011,2011,IC50,B,1
RUMVZUFKTZXZHP-VXKWHMMOSA-N,COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)CCNC(C)=O)C[C@H]1c1ccccc1,10.267606240177031,1,0.0,2011,2011,2011,IC50,B,1
