inchikey,validated,pAct_pre,n_pre,n_undated
WMTKHCQGJKXVST-PYIJLGDTSA-N,1,12.084301897225643,2,0
OCQZYGJWLHVJRD-UHFFFAOYSA-N,1,11.769551078621726,1,0
ADVXLVRKUFJJTA-CYLPJFJESA-N,1,11.561383456552921,2,0
NKULLHQHASCPKR-CDYHHZRJSA-N,1,,0,0
ADPQCWUGLGBPRO-ISCRSJHHSA-N,1,,0,0
DSXDZHLLPRAKKT-XCRGKUJJSA-N,1,11.244125144327509,1,0
PVNAJCHBKOKIIB-KKYBWPPWSA-N,1,11.092909509479906,2,0
CJYLEVUNMXXSAG-ZTNHBREUSA-N,1,11.045757490560675,1,0
UTXLSPLKQGPIPL-WXYSSXJFSA-N,1,11.02743811493894,6,0
UIBQKGCCXYTNSB-UHFFFAOYSA-N,1,11.0,1,0
KUPDICLCUUMCDF-UHFFFAOYSA-N,1,10.958607314841775,1,0
ATJZNASWBNGJGA-UPKFDLETSA-N,1,10.921150760362242,2,0
ZGKMSCDQIDVSIK-FNFCYJGBSA-N,1,,0,0
SRLYUYRWDOPUDB-SZFUDVHCSA-N,1,10.769551078621726,1,0
NQQVDBGEUDENFZ-XYJCDUHRSA-N,1,10.698970004336019,1,0
XLJBLGBRVMYMNE-GOTSBHOMSA-N,1,10.602059991327963,1,0
CAHGELRDKXVTKA-RPBOFIJWSA-N,1,10.568636235841012,1,0
MVWDYFOJQAABRA-LOSJGSFVSA-N,1,10.537602002101044,1,0
VUBAEISRKSELTE-OGPKSRJFSA-N,1,,0,0
LVKWUNFNJODDPV-XZOQPEGZSA-N,1,10.522878745280337,1,0
ZDJFLHCNTGAWQS-JYFHCDHNSA-N,1,10.508638306165727,1,0
WCIIIOXFGGLKMU-GMAHTHKFSA-N,1,10.500038134403809,1,0
KVHRINXGSHANGC-RRPNLBNLSA-N,1,10.494850021680094,1,0
OIFPROSOIDRACJ-SYIFMXBLSA-N,1,10.494850021680094,1,0
JNSYLTHKBVSSSE-VQTJNVASSA-N,1,10.49148333035061,2,0
VYUZFKRVLLXBRD-JZIKEGBGSA-N,1,10.468521082957745,1,0
ALFJIXABJRNKLR-VQTJNVASSA-N,1,10.455931955649724,1,0
KEBGEOSFYGRLDX-SFTDATJTSA-N,1,10.453114109250635,2,0
XILNRORTJVDYRH-HKUYNNGSSA-N,1,10.449984651306366,4,0
SAOIHBIAGRVDAR-KBJGYGKASA-N,1,10.41195437047216,2,0
LAPDOBVFPRPNFV-PMACEKPBSA-N,1,10.4089353929735,1,0
OUYSLNGQLIIZQC-XZOQPEGZSA-N,1,10.4089353929735,1,0
POVSMQHNJBZQSH-REWPJTCUSA-N,1,10.400007822415901,1,0
ZOXDXWYYGMUJSO-ICSRJNTNSA-N,1,10.400007822415901,1,0
LZKSSKWSKNLYAF-XZOQPEGZSA-N,1,10.366531544420413,1,0
NTGJAYAGZOYPEO-VXKWHMMOSA-N,1,10.356547323513812,1,0
DZYPLFAASKBQBS-ICSRJNTNSA-N,1,10.348964473174963,4,0
XHJXRHNUFXHMEV-REAJPLCASA-N,1,10.337242168318426,1,0
YGZREHQKRAUHGY-VQTJNVASSA-N,1,10.337242168318426,1,0
SIHCCJJWSBAMTD-RRPNLBNLSA-N,1,10.327902142064282,1,0
WYRVPBJYGNHDQS-LEWJYISDSA-N,1,10.318758762624412,1,0
WFRTYDJMZVPQJC-JBOYQHEBSA-N,1,10.309981219211306,1,0
JATRHWFLYQWVOP-PMACEKPBSA-N,1,10.309803919971486,1,0
HUBLDDBZWROLJY-JYQZRRITSA-N,1,10.309803919971486,1,0
ZUWHBRRBKKTMQO-ICSRJNTNSA-N,1,10.301029995663981,3,0
GVRKQRSTDMXZGX-VAQUTSCRSA-N,1,,0,0
NNCLFEXCOZZGBL-URXFXBBRSA-N,1,10.299988937677888,1,0
IWYYILZQWTZMBD-HKUYNNGSSA-N,1,10.299988937677888,1,0
CDOUOAYDUOAYET-FPOVZHCZSA-N,1,10.299988937677888,1,0
JEVJEXOPWIYIHY-UGKGYDQZSA-N,1,10.299988937677888,1,0
XYYBIGZRYVVKHM-IZZNHLLZSA-N,1,10.2839966563652,1,0
SRPGJTDSNNPYQF-OALUTQOASA-N,1,10.267606240177031,1,0
RUMVZUFKTZXZHP-VXKWHMMOSA-N,1,10.267606240177031,1,0
DNWDXVUEVAPELT-SFTDATJTSA-N,1,10.2518119729938,1,0
UEFMCYITDQUEOQ-OALUTQOASA-N,1,10.244125144327509,1,0
LUDXHXZJUQBRBS-GOTSBHOMSA-N,1,10.244125144327509,1,0
KOEGRIPAKURRCQ-PUCZYUMASA-N,1,10.221848749616356,1,0
SUITYIWBXSZXIQ-MJRZITLZSA-N,1,10.221848749616356,5,0
UZFQUSTZMHSQPN-VNNGDKDKSA-N,1,10.221848749616356,1,0
BQYNOCZVNLUEFZ-UPVQGACJSA-N,1,10.199970640755865,1,0
HYVDVRAQILFVQT-GMAHTHKFSA-N,1,10.199970640755865,1,0
LHCAJNSBYDLUII-ICSRJNTNSA-N,1,10.199970640755865,1,0
DHNLMUQAIWWIEX-UHFFFAOYSA-N,1,10.199970640755865,1,0
XWNBGDJPEXZSQM-VZOBGQTKSA-N,1,10.199970640755865,1,0
PRKDQTJNJVWZST-WUFINQPMSA-N,1,10.193820026016112,1,0
