inchikey,SMILES,pAct,n_records,sd,year_min,year_max,year_median,types,assay_types,n_documents
HYWPCURCNVJWBD-UHFFFAOYSA-N,CCNc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,10.397940008672037,1,0.0,2009,2009,2009,IC50,B,1
KDRGWBDOBCLUSE-UHFFFAOYSA-N,COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(C(F)(F)F)c4)cc3n(CCNC(C)=O)c2=O)cc1,10.301029995663981,3,0.0,2009,2022,2009,IC50,B,3
LFQBDZIKMOOKIP-UHFFFAOYSA-N,FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.221848749616356,5,0.7364020552828304,2010,2010,2010,IC50,B,2
OVDUYMDKXHUHFR-UHFFFAOYSA-N,Clc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.610924374808178,2,0.8639775364380294,2010,2010,2010,IC50,B,1
DDXUZSUWYQGZES-UHFFFAOYSA-N,COc1ccc(C(=O)Nc2ncc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,9.522878745280337,3,1.172961733078277,2009,2009,2009,IC50,B,2
UWTDRYIQCPGWSN-UHFFFAOYSA-N,Fc1ccc(F)c2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.5,2,0.7071067811865476,2010,2010,2010,IC50,B,1
QNOWPIAIUWJQEZ-UHFFFAOYSA-N,Cc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.426935982160881,2,0.3847142035869832,2010,2010,2010,IC50,B,1
ABRPDNMHYXMRIE-UHFFFAOYSA-N,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CCc4ccccc4O3)CC2)nn1,9.368063661567387,2,1.1305611075952506,2010,2010,2010,IC50,B,1
ANTRYADYILUHOS-UHFFFAOYSA-N,Fc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.33889035263304,2,0.2601988802010339,2010,2010,2010,IC50,B,1
YFHCFMDYCXILIY-UHFFFAOYSA-N,O=C(CO)NCCN1C(=O)COc2ccc(NCc3ccc(Cl)c(Cl)c3)cc21,9.301029995663981,1,0.0,2009,2009,2009,IC50,B,1
YLQRMKQJUAYGBI-UHFFFAOYSA-N,OCc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,9.301029995663981,1,0.0,2014,2014,2014,IC50,B,1
ZZAPJOCTVLDGNQ-UHFFFAOYSA-N,COCCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,9.221848749616356,1,0.0,2009,2009,2009,IC50,B,1
AEDMQUAPBVOJNN-UHFFFAOYSA-N,OCc1nc(-c2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)s2)no1,9.0,1,0.0,2010,2010,2010,IC50,B,1
IQHQDZNRKGZLGK-UHFFFAOYSA-N,O=C(O)Cn1nnc(-c2cc(N3CCC4(CCc5c(OC(F)(F)F)cccc5O4)CC3)no2)n1,9.0,1,0.0,2015,2015,2015,IC50,B,1
DNCKPUTVTXBQDJ-UHFFFAOYSA-N,O=C(O)Cn1nnc(-c2nnc(N3CCC4(CCc5c(OC(F)(F)F)cccc5O4)CC3)s2)n1,9.0,1,0.0,2015,2015,2015,IC50,B,1
CEIMCKXVCRNXID-UHFFFAOYSA-N,O=C(O)Cn1nnc(-c2cnc(N3CCC4(CCc5c(OC(F)(F)F)cccc5O4)CC3)s2)n1,9.0,1,0.0,2015,2015,2015,IC50,B,1
SIMRYXWGLGGGQG-UHFFFAOYSA-N,O=C(O)Cn1nnc(-c2cc(N3CCC4(CCc5c(Br)cccc5O4)CC3)no2)n1,9.0,1,0.0,2015,2015,2015,IC50,B,1
