inchikey,validated,pAct_pre,n_pre,n_undated
HYWPCURCNVJWBD-UHFFFAOYSA-N,1,10.397940008672037,1,0
KDRGWBDOBCLUSE-UHFFFAOYSA-N,1,10.301029995663981,2,0
LFQBDZIKMOOKIP-UHFFFAOYSA-N,1,10.221848749616356,5,0
OVDUYMDKXHUHFR-UHFFFAOYSA-N,1,9.610924374808178,2,0
DDXUZSUWYQGZES-UHFFFAOYSA-N,1,9.522878745280337,3,0
UWTDRYIQCPGWSN-UHFFFAOYSA-N,1,9.5,2,0
QNOWPIAIUWJQEZ-UHFFFAOYSA-N,1,9.426935982160881,2,0
ABRPDNMHYXMRIE-UHFFFAOYSA-N,1,9.368063661567387,2,0
ANTRYADYILUHOS-UHFFFAOYSA-N,1,9.33889035263304,2,0
YFHCFMDYCXILIY-UHFFFAOYSA-N,1,9.301029995663981,1,0
YLQRMKQJUAYGBI-UHFFFAOYSA-N,1,9.301029995663981,1,0
ZZAPJOCTVLDGNQ-UHFFFAOYSA-N,1,9.221848749616356,1,0
AEDMQUAPBVOJNN-UHFFFAOYSA-N,1,9.0,1,0
IQHQDZNRKGZLGK-UHFFFAOYSA-N,1,,0,0
DNCKPUTVTXBQDJ-UHFFFAOYSA-N,1,,0,0
CEIMCKXVCRNXID-UHFFFAOYSA-N,1,,0,0
SIMRYXWGLGGGQG-UHFFFAOYSA-N,1,,0,0
VWCJLKMHBIRFIC-UHFFFAOYSA-N,1,,0,0
ZGNDLGFUYNRRBQ-UHFFFAOYSA-N,1,,0,0
ZLJXCGINXMZSHV-UHFFFAOYSA-N,1,,0,0
PRAPXBVFYBPXQO-UHFFFAOYSA-N,1,,0,0
WLOLMYNNISZAOR-UHFFFAOYSA-N,1,8.934833115752497,2,0
ZOEWLHQWLATJPA-UHFFFAOYSA-N,1,,0,0
LNGYRMQFDYVKMZ-UHFFFAOYSA-N,1,8.84948500216801,2,0
PHJZFBFLKLOXTJ-UHFFFAOYSA-N,1,8.698970004336019,1,0
SIGGFDISUSMMKN-UHFFFAOYSA-N,1,8.698970004336019,2,0
QKYBNRACKLQSIG-UHFFFAOYSA-N,1,8.698970004336019,2,0
JGHSBWAMLKSGST-UHFFFAOYSA-N,1,8.698970004336019,1,0
PIIAGRLGKMELJZ-UHFFFAOYSA-N,1,8.698970004336019,1,0
NGSCVSATAUBCPA-UHFFFAOYSA-N,1,8.659379381312206,2,0
OUGTWLPOXLOZSB-UHFFFAOYSA-N,1,,0,0
JRWYOUUHSXSYPM-UHFFFAOYSA-N,1,8.610924374808178,2,0
LMDQANTXMJXMOC-UHFFFAOYSA-N,1,,0,0
QNXMXQBKDPEQJB-UHFFFAOYSA-N,1,8.568636235841012,1,0
CVZDYMNIISAMCT-UHFFFAOYSA-N,1,8.557319389984244,2,0
XWKNIHACUXAXDU-UHFFFAOYSA-N,1,8.55284196865778,1,0
OLZKXMLLVOENDP-UHFFFAOYSA-N,1,,0,0
VTQVXDHQCOTSNO-UHFFFAOYSA-N,1,8.522878745280337,2,0
