inchikey,year,standard_type,pAct
AADCDMQTJNYOSS-LBPRGKRZSA-N,2014,Ki,10.065502
AADCDMQTJNYOSS-LBPRGKRZSA-N,2016,Ki,9.585027
AADCDMQTJNYOSS-LBPRGKRZSA-N,2021,Ki,9.931814
AADWBQLQKGQDIM-UHFFFAOYSA-N,2010,Ki,7.769551
AADWBQLQKGQDIM-UHFFFAOYSA-N,2010,Ki,7.522879
AAELEHAFAYIZRH-KDURUIRLSA-N,2016,Ki,8.200659
AAELEHAFAYIZRH-KDURUIRLSA-N,2017,Ki,9.086186
AAELEHAFAYIZRH-KDURUIRLSA-N,2017,Ki,9.086186
AAELEHAFAYIZRH-WGSAOQKQSA-N,2016,Ki,8.537602
AAELEHAFAYIZRH-WGSAOQKQSA-N,2016,IC50,7.211478
AAELEHAFAYIZRH-WGSAOQKQSA-N,2017,Ki,8.537602
AAELEHAFAYIZRH-WGSAOQKQSA-N,2017,Ki,8.537602
AAIDTVFHOXBFSJ-SJLPKXTDSA-N,1997,Ki,5.300000
AAONJNLMLWRZJE-UHFFFAOYSA-N,2010,Ki,6.099999
AAONJNLMLWRZJE-UHFFFAOYSA-N,2010,Ki,6.699992
AAPCMUAAQFZHRZ-IPJJNNNSSA-N,2014,Ki,7.134245
AAPCMUAAQFZHRZ-WOIUINJBSA-N,2014,Ki,7.045034
AAPNNVKAQPYKAA-UHFFFAOYSA-N,2019,Ki,6.782516
AAPXNHMQKBDDJN-AVRDEDQJSA-N,2016,Ki,6.000000
AAPXNHMQKBDDJN-AVRDEDQJSA-N,2016,Ki,6.290001
AAPXNHMQKBDDJN-AVRDEDQJSA-N,2019,Ki,5.840132
AAPXNHMQKBDDJN-GCJKJVERSA-N,2016,Ki,6.030002
AAPXNHMQKBDDJN-GCJKJVERSA-N,2016,Ki,4.770000
AAPXNHMQKBDDJN-GCJKJVERSA-N,2019,Ki,6.140261
AAPXNHMQKBDDJN-PGRDOPGGSA-N,2016,Ki,6.099999
AAPXNHMQKBDDJN-PGRDOPGGSA-N,2016,Ki,6.170002
AAPXNHMQKBDDJN-XMSQKQJNSA-N,2016,Ki,6.149997
AAPXNHMQKBDDJN-XMSQKQJNSA-N,2019,Ki,5.379968
AAPXNHMQKBDDJN-YSYXNDDBSA-N,2019,Ki,5.750068
AAPXNHMQKBDDJN-YSYXNDDBSA-N,2019,Ki,5.840132
AAPXNHMQKBDDJN-YSYXNDDBSA-N,2019,Ki,6.170053
AAQUEQYOKSKIDA-UHFFFAOYSA-N,2021,Ki,7.698970
AARLSAHQVGPBSH-UHFFFAOYSA-N,2018,Ki,4.698319
AARWRAFDYZSYPD-UHFFFAOYSA-N,2007,Ki,7.410050
AARWRAFDYZSYPD-UHFFFAOYSA-N,2015,Ki,7.853872
AARWZLCCVAYIQN-UHFFFAOYSA-N,2020,Ki,6.179996
AASBFJIEFSDMGW-VHPWLNBFSA-N,2023,Ki,6.568636
AAYBHLNWKYXETD-NRFANRHFSA-N,2018,Ki,8.769551
AAYBHLNWKYXETD-OAQYLSRUSA-N,2018,Ki,8.698970
AAYMNPGQEZYHNE-UHFFFAOYSA-N,2010,Ki,7.657577
AAYMNPGQEZYHNE-UHFFFAOYSA-N,2010,Ki,7.769551
ABDDQTDRAHXHOC-QMMMGPOBSA-N,2021,IC50,4.619789
