inchikey,year,standard_type,pAct
AALWUTFIDZBLOW-UHFFFAOYSA-N,2002,Kd,7.700057
AAMSRIRJJDBNAA-ISIYWYIMSA-N,2010,IC50,9.568636
AAMSRIRJJDBNAA-ISIYWYIMSA-N,2010,IC50,10.221849
AAMSRIRJJDBNAA-ISIYWYIMSA-N,2010,IC50,8.677781
AAMSRIRJJDBNAA-ISIYWYIMSA-N,2010,IC50,9.420216
AAMSRIRJJDBNAA-ISIYWYIMSA-N,2010,IC50,9.420216
AAMSRIRJJDBNAA-ISIYWYIMSA-N,2010,IC50,10.221849
ABOQXCXLCHOJSM-UHFFFAOYSA-N,2001,IC50,9.107905
ABRLODMDKOBAGA-UHFFFAOYSA-N,1998,IC50,9.619789
ABUAYXONELMOKH-HMILPKGGSA-N,1995,IC50,7.480041
ABXDOBDGLYDVQT-NBGFENBTSA-N,1998,IC50,7.187087
ACFPRWCERXMNGY-SVJKDRGJSA-N,2009,IC50,9.929962
ACFPRWCERXMNGY-SVJKDRGJSA-N,2009,Ki,10.283997
ACHIPRVQHDLTIJ-NUCBDOEESA-N,2002,IC50,9.356547
ACHPJPBOPKYSRD-UHFFFAOYSA-N,1994,IC50,7.031517
ACJFETYSCBTCMR-UHFFFAOYSA-N,2001,IC50,8.119186
ACSJGOJPLODBLW-MDMXATFFSA-N,2002,IC50,8.187087
ACTGOTBFGXZMMT-GHRAFVERSA-N,2001,IC50,9.070581
ADILVWNDEWPECX-UHFFFAOYSA-N,1994,IC50,7.677781
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2000,IC50,8.853872
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2000,IC50,8.769551
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2000,IC50,9.045757
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2000,IC50,8.958607
ADNPLDHMAVUMIW-CUZNLEPHSA-N,1997,IC50,9.619789
ADNPLDHMAVUMIW-CUZNLEPHSA-N,1998,Ki,8.795880
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2000,EC50,9.000000
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2000,EC50,9.221849
ADNPLDHMAVUMIW-CUZNLEPHSA-N,1996,IC50,9.585027
ADNPLDHMAVUMIW-CUZNLEPHSA-N,1998,IC50,9.214670
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2004,IC50,9.920819
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2008,IC50,8.823909
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2009,EC50,10.240030
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2011,IC50,8.823909
ADNPLDHMAVUMIW-CUZNLEPHSA-N,2012,EC50,9.221849
ADPQCWUGLGBPRO-ISCRSJHHSA-N,2015,Ki,11.397940
ADVMQYYUVBVGSB-OGINWGRTSA-N,2007,IC50,10.045757
ADVMQYYUVBVGSB-OGINWGRTSA-N,2007,IC50,9.795880
ADVXLVRKUFJJTA-CYLPJFJESA-N,2009,IC50,11.569925
ADVXLVRKUFJJTA-CYLPJFJESA-N,2009,Ki,11.552842
