inchikey,year,standard_type,pAct
AADDTKRBTBKAOH-UHFFFAOYSA-N,2009,IC50,7.292430
AAYLWJHTUQKURI-UHFFFAOYSA-N,2015,IC50,6.471083
ABRPDNMHYXMRIE-UHFFFAOYSA-N,2010,IC50,8.568636
ABRPDNMHYXMRIE-UHFFFAOYSA-N,2010,IC50,10.167491
ABVYZOVFOYTGAU-UHFFFAOYSA-N,2009,IC50,8.251812
ADDGEJWTQLPRHJ-UHFFFAOYSA-N,2011,IC50,6.496209
ADEUYAXXUHPWMD-UHFFFAOYSA-N,2014,IC50,6.482804
ADVAKZKECLPQAL-UHFFFAOYSA-N,2020,IC50,4.267606
ADVAKZKECLPQAL-UHFFFAOYSA-N,2020,IC50,4.677781
AEDMQUAPBVOJNN-UHFFFAOYSA-N,2010,IC50,9.000000
AEUQDGBKRPRYKM-UHFFFAOYSA-N,2014,IC50,7.022276
AFYBAPPGUZIPDM-UHFFFAOYSA-N,2021,IC50,6.657577
AHPITNKHMUCYLX-UHFFFAOYSA-N,2013,IC50,7.180456
AHTHTZSSWIYCMO-UHFFFAOYSA-N,2007,IC50,6.236572
AKBVREXEVPVWDD-UHFFFAOYSA-N,2014,IC50,7.920819
AKNZNOUVMDGJGW-UHFFFAOYSA-N,2010,IC50,7.259637
AKQPVKCVWMDGEW-UHFFFAOYSA-N,2015,IC50,7.853872
ALJLGQQGERMMMV-UHFFFAOYSA-N,2015,IC50,6.560667
ALJMSYJYNXRBSK-UHFFFAOYSA-N,2015,IC50,6.838632
ALNBEEWFQUYNMP-UHFFFAOYSA-N,2013,IC50,8.000000
ALWPCDCARJTZHG-UHFFFAOYSA-N,2015,IC50,7.886057
AMBCBOPNWFNGRX-UHFFFAOYSA-N,2007,IC50,6.107905
ANTRYADYILUHOS-UHFFFAOYSA-N,2010,IC50,9.522879
ANTRYADYILUHOS-UHFFFAOYSA-N,2010,IC50,9.154902
ARPJLXJZGILMIN-UHFFFAOYSA-N,2020,IC50,5.327902
ARPJLXJZGILMIN-UHFFFAOYSA-N,2020,IC50,4.826814
ASCUJQMVGSBUKG-UHFFFAOYSA-N,2021,IC50,5.489455
ATBDTEAYMAGOCW-UHFFFAOYSA-N,2014,IC50,6.659556
ATESJOJGSWWETO-UHFFFAOYSA-N,2009,IC50,8.537602
ATESJOJGSWWETO-UHFFFAOYSA-N,2009,IC50,6.935542
ATWRKBUXSXUGPN-UHFFFAOYSA-N,2021,IC50,5.118615
AUMGRXRGVZVLTD-UHFFFAOYSA-N,2021,IC50,5.617983
AUSRQKFDMUEKHR-UHFFFAOYSA-N,2009,IC50,6.602060
AWSWGFLZVRYNMI-UHFFFAOYSA-N,2013,IC50,6.903090
AXEZILFCYZVDTH-UHFFFAOYSA-N,2018,IC50,8.376751
AXIXUINDTJQLOD-UHFFFAOYSA-N,2007,IC50,7.000000
AXJYGGLVVOCLNI-UHFFFAOYSA-N,2013,IC50,6.180456
AXMOLBLFTAUXGI-UHFFFAOYSA-N,2015,IC50,7.920819
AXMOLBLFTAUXGI-UHFFFAOYSA-N,2015,IC50,8.522879
AYKPMCNREUVKNQ-UHFFFAOYSA-N,2017,IC50,6.886057
AZDQHTUSFFHYCU-UHFFFAOYSA-N,2007,IC50,6.853872
BAJHOLKNLOUWAK-UHFFFAOYSA-N,2018,IC50,8.173925
BATNUQRJIVXLQP-UHFFFAOYSA-N,2018,IC50,5.568636
BBZBQWFAPYWGBB-UHFFFAOYSA-N,2018,IC50,7.769551
BCMSTTNXNSZKPL-UHFFFAOYSA-N,2015,IC50,7.698970
BCMSTTNXNSZKPL-UHFFFAOYSA-N,2015,IC50,7.920819
BCQSGWNKFDAIOL-UHFFFAOYSA-N,2010,IC50,7.119186
BCUKQYKXRHIXRD-UHFFFAOYSA-N,2015,IC50,7.309804
BCURKFDHURYYGR-UHFFFAOYSA-N,2010,IC50,6.638272
BDBXGPJAVGFJSW-LWKPJOBUSA-N,2021,IC50,4.522879
BESDIJMOOGUNEC-UHFFFAOYSA-N,2020,IC50,6.259637
BESDIJMOOGUNEC-UHFFFAOYSA-N,2020,IC50,6.000000
BFQNFJQWWXUWGB-UHFFFAOYSA-N,2017,IC50,7.823909
BFXOZSLOOXDUPK-UHFFFAOYSA-N,2021,IC50,6.958607
BHOBUXPHKZSABC-FQEVSTJZSA-N,2020,IC50,7.154902
BHOBUXPHKZSABC-FQEVSTJZSA-N,2020,IC50,5.244125
BHOBUXPHKZSABC-HXUWFJFHSA-N,2020,IC50,6.744727
BHOBUXPHKZSABC-HXUWFJFHSA-N,2020,IC50,5.677781
BHOBUXPHKZSABC-HXUWFJFHSA-N,2020,IC50,7.568636
BHOBUXPHKZSABC-HXUWFJFHSA-N,2020,IC50,6.935542
BHOBUXPHKZSABC-HXUWFJFHSA-N,2020,IC50,7.070581
BHOBUXPHKZSABC-HXUWFJFHSA-N,2020,IC50,7.301030
BHOBUXPHKZSABC-HXUWFJFHSA-N,2020,IC50,7.958607
BHOBUXPHKZSABC-UHFFFAOYSA-N,2020,IC50,7.657577
BHOBUXPHKZSABC-UHFFFAOYSA-N,2020,IC50,7.267606
BHSMUQNJVDRFKR-UHFFFAOYSA-N,2020,IC50,6.795880
BHSMUQNJVDRFKR-UHFFFAOYSA-N,2020,IC50,5.552842
BHUCOKRFLNIIRI-UHFFFAOYSA-N,2014,IC50,6.863279
BHZGNSVFZHWODH-KRWDZBQOSA-N,2021,IC50,4.477556
BITOVZIDEAIQGL-UHFFFAOYSA-N,2010,IC50,7.130768
BJESSHFYGZODNG-UHFFFAOYSA-N,2017,IC50,7.698970
BKCQAKQXZWKPRF-UHFFFAOYSA-N,2015,IC50,6.571865
BKFXBZYLQGXCNC-UHFFFAOYSA-N,2014,IC50,5.595851
BLTLXYPXNRPQJN-UHFFFAOYSA-N,2009,IC50,8.000000
BMEXGPOTTUHAQD-UHFFFAOYSA-N,2017,IC50,8.187087
BMWFXJOQYUAESO-UHFFFAOYSA-N,2013,IC50,7.619789
BOINOOJVPIKLSZ-UHFFFAOYSA-N,2012,IC50,6.013676
BPZFOVKEALLNAO-UHFFFAOYSA-N,2015,IC50,7.508638
BQOYGEFWXGYNCU-UHFFFAOYSA-N,2021,IC50,5.508638
BQZCMVMHOYRQFV-UHFFFAOYSA-N,2015,IC50,7.180456
BSHDMLFQVXKHGJ-UHFFFAOYSA-N,2012,IC50,4.688246
BSKAWUIOJVBKRM-UHFFFAOYSA-N,2010,IC50,7.187087
BSKAWUIOJVBKRM-UHFFFAOYSA-N,2010,IC50,7.420216
BTFSQDGQHMPZAH-UHFFFAOYSA-N,2010,IC50,6.593460
BTTIPGMFWRCWMD-UHFFFAOYSA-N,2009,IC50,7.823909
BUEJIUWXQCAQJO-UHFFFAOYSA-N,2009,IC50,8.397940
BUEJIUWXQCAQJO-UHFFFAOYSA-N,2009,IC50,7.229148
BUNQINGTAZCYJO-UHFFFAOYSA-N,2015,IC50,7.408935
BWABONCEYZCPSJ-UHFFFAOYSA-N,2010,IC50,6.946922
BWXAKTZKPBHCRM-UHFFFAOYSA-N,2009,IC50,7.823909
BYTIXRGZCSORTK-UHFFFAOYSA-N,2007,IC50,6.468521
BZRRWJSGIPAOJN-UHFFFAOYSA-N,2015,IC50,7.283997
BZRRWJSGIPAOJN-UHFFFAOYSA-N,2015,IC50,7.017729
CACZFXNLHCSKAL-UHFFFAOYSA-N,2020,IC50,7.236572
CACZFXNLHCSKAL-UHFFFAOYSA-N,2020,IC50,4.657577
CBHSSHJIZBKJMQ-UHFFFAOYSA-N,2015,IC50,8.096910
CBKLMRDZFFLXSZ-UHFFFAOYSA-N,2021,IC50,5.583359
CDHKIZKYEMZUDX-KRWDZBQOSA-N,2021,IC50,4.439615
CEEQUJHKPMIHJH-UHFFFAOYSA-N,2007,IC50,7.420216
CEIMCKXVCRNXID-UHFFFAOYSA-N,2015,IC50,9.000000
CFQCWHCUFFJKDW-UHFFFAOYSA-N,2013,IC50,7.167491
CFWQXTVCNNNZGH-UHFFFAOYSA-N,2021,IC50,4.602060
CGFOWCYAAJSOPE-UHFFFAOYSA-N,2010,IC50,7.795880
CGFOWCYAAJSOPE-UHFFFAOYSA-N,2010,IC50,7.455932
CHEATIQXHDZDGV-UHFFFAOYSA-N,2015,IC50,6.903090
CIBPNAWYMVRORE-UHFFFAOYSA-N,2015,IC50,7.677781
CIMFCJFCERXAOY-UHFFFAOYSA-N,2018,IC50,8.259637
CIOGEGQPHGZHPB-UHFFFAOYSA-N,2015,IC50,7.698970
CJZNKOIMXMXMTI-UHFFFAOYSA-N,2011,IC50,6.790485
CKIBNNYWZAXTRH-UHFFFAOYSA-N,2013,IC50,7.387216
CKIBNNYWZAXTRH-UHFFFAOYSA-N,2017,IC50,6.124939
CMTUPTPLFHCJIN-UHFFFAOYSA-N,2021,IC50,4.522879
CMYITAKNBSCUGW-UHFFFAOYSA-N,2021,IC50,6.552842
CORXDZZRQNBTBN-UHFFFAOYSA-N,2018,IC50,6.585027
COTQFOUJZXUUCG-NRFANRHFSA-N,2010,IC50,7.602060
COTQFOUJZXUUCG-NRFANRHFSA-N,2010,IC50,7.148742
COTQFOUJZXUUCG-NRFANRHFSA-N,2013,IC50,7.823909
COTQFOUJZXUUCG-OAQYLSRUSA-N,2010,IC50,7.091515
COTQFOUJZXUUCG-OAQYLSRUSA-N,2010,IC50,7.045757
COTQFOUJZXUUCG-OAQYLSRUSA-N,2013,IC50,7.221849
CRHNKCHJUAWGHN-JXMROGBWSA-N,2009,IC50,8.522879
CROPIEGDJHLTST-UHFFFAOYSA-N,2015,IC50,6.142668
CTBMGYGHXFJGEB-UHFFFAOYSA-N,2014,IC50,5.588717
CTCYFGZXOIZJMH-UHFFFAOYSA-N,2015,IC50,7.795880
CTCYFGZXOIZJMH-UHFFFAOYSA-N,2015,IC50,7.853872
CTONVBDPRFRMPC-UHFFFAOYSA-N,2021,IC50,6.634512
CTVCKLXTDJUUGD-UHFFFAOYSA-N,2015,IC50,7.207608
CTZLXTQEVUMJMU-UHFFFAOYSA-N,2010,IC50,6.136083
CUZUNVLTQYLNFQ-UHFFFAOYSA-N,2009,IC50,7.017729
CVOOKMZXIFWORK-UHFFFAOYSA-N,2015,IC50,6.761954
CVZDYMNIISAMCT-UHFFFAOYSA-N,2010,IC50,7.795880
CVZDYMNIISAMCT-UHFFFAOYSA-N,2010,IC50,9.318759
CYBBWKSWIOYLKW-UHFFFAOYSA-N,2020,IC50,7.657577
CYBBWKSWIOYLKW-UHFFFAOYSA-N,2020,IC50,5.698970
CYOSOQNLLDMDAG-UHFFFAOYSA-N,2011,IC50,7.000000
CYTAKBDZAJHZGV-UHFFFAOYSA-N,2015,IC50,6.187087
CZHPZSKUFCDFCU-UHFFFAOYSA-N,2015,IC50,7.000000
DALUCQVQSXDILM-UHFFFAOYSA-N,2021,IC50,6.823909
DAVFKHKXIXGDTA-UHFFFAOYSA-N,2009,IC50,8.397940
DBALZNPBWHMHOG-UHFFFAOYSA-N,2010,IC50,7.481486
